koridor,rute_koridor,nama_halte,lokasi_halte,dibangun_tahun,keterangan
Koridor 01,Blok M - Kota,TERMINAL BLOK M,TERMINAL BLOK M,2003,PELICAN
Koridor 01,Blok M - Kota,MESJID AL-AZHAR,JL. SISINGAMANGARAJA,2003,"JPO BETON / EKSISTING ( RAMP,TANGGA )"
Koridor 01,Blok M - Kota,BUNDARAN SENAYAN,JL. JEND SUDIRMAN,2003,JPO BAJA / EKSISTING ( RAMP SEMUA )
Koridor 01,Blok M - Kota,GELORA ,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ) 
Koridor 01,Blok M - Kota,POLDA,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ) 
Koridor 01,Blok M - Kota,BENHIL,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ) 
Koridor 01,Blok M - Kota,KARET,JL. JEND SUDIRMAN,2003,JPO BAJA / PEMB BARU SPONSOR ( RAMP SEMUA )
Koridor 01,Blok M - Kota,SETIA BUDI,JL. JEND SUDIRMAN,2003,JPO BAJA / EKSISTING ( RAMP SEMUA )
Koridor 01,Blok M - Kota,DUKUH ATAS,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ) 
Koridor 01,Blok M - Kota,TOSARI,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA )
Koridor 01,Blok M - Kota,BUNDARAN HI,JL. MH THAMRIN,2003,JPO BETON / EKSISTING ( TANGGA SEMUA )
Koridor 01,Blok M - Kota,SARINAH,JL. MH THAMRIN,2003,JPO BETON / EKSISTING ( TANGGA SEMUA )
Koridor 01,Blok M - Kota,BI,JL. MH THAMRIN,2003,JPO BETON / EKSISTING ( RAMP SEMUA )
Koridor 01,Blok M - Kota,MONAS,JL. MERDEKA BARAT,2003,PELICAN
Koridor 01,Blok M - Kota,HARMONI CENTRAL BUSWAY ( HCB ),JL. GAJAH MADA,2003,"JPO BAJA / EKSISTING ( RAMP, TANGGA ) "
Koridor 01,Blok M - Kota,SAWAH BESAR,JL. GAJAH MADA,2003,JPO BAJA / EKSISTING ( TANGGA SEMUA )
Koridor 01,Blok M - Kota,MANGGA BESAR,JL. GAJAH MADA,2003,JPO BAJA / EKSISTING ( TANGGA SEMUA )
Koridor 01,Blok M - Kota,OLIMO,JL. GAJAH MADA,2003,JPO BAJA / EKSISTING ( TANGGA SEMUA )
Koridor 01,Blok M - Kota,GLODOK,JL. GAJAH MADA,2003,PELICAN
